Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
Dialogue Database,,,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,Display Name
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Text
1,Assets/snowwhite2.png,[],,[],Player,[],,True,Snow White
2,Assets/hunter2.png,[],,[],Hunter,[],,False,{{omit}}
3,Assets/dwalf1.png,[],,[],Dwalf,[],,False,{{omit}}
4,Assets/dwalf3.png,[],,[],The Second Dwarf,[],,False,{{omit}}
5,Assets/dwalf2.png,[],,[],The Third Dwarf,[],,False,{{omit}}
6,Assets/snowwhite2.png,[],,[],Queen,[],,False,{{omit}}
Items
ID
Number
Locations
ID
Number
Variables
ID,Name,Initial Value,Description,InitialValueType
Number,Text,Boolean,Text,Text
1,finishHunterVisit1,False,,Boolean
2,finishHunterVisit2,False,,Boolean
7,finishHunterVisit3,False,,Boolean
8,HunterDead,False,,Boolean
3,finishDwarfVisit1,False,,Boolean
9,Dwarf1Dead,False,,Boolean
4,finishDwarfVisit2,False,,Boolean
10,Dwarf2Dead,False,,Boolean
5,finishDwarfVisit3,False,,Boolean
6,finishQueenVisit1,False,,Boolean
11,finishQueenVisit2,False,,Boolean
12,finishQueenVisit3,False,,Boolean
13,Dwarf3Dead,False,,Boolean
Conversations
ID,Title,Pictures,Description,Actor,Conversant
Number,Text,Files,Text,Actor,Actor
1,Game Start,[],,1,2
2,Hunter Visit 1,[],,1,2
3,Kill Hunter,[],,1,2
4,HunterVisit2,[],,1,2
5,HunterVisit3,[],,1,2
6,DwarfVisit1,[],,3,1
7,Kill Dwarf,[],,1,3
8,DwarfVisit2,[],,1,3
9,Dwarf Visit 3,[],,1,5
10,test,[],,1,2
11,QueenVisit1,[],,1,6
12,Killed Queen,[],,1,6
13,KilledByAnimals,[],,1,6
14,Kill Dwarf2,[],,1,3
15,Kill Dwarf3,[],,1,3
DialogueEntries
entrytag,ConvID,ID,Actor,Conversant,Title,MenuText,DialogueText,IsGroup,FalseConditionAction,ConditionPriority,Conditions,Script,Sequence,Pictures,Description,Parenthetical,Audio Files,Video File,EventGuid,canvasRect
Text,Number,Number,Number,Number,Text,Text,Text,Boolean,Special,Special,Text,Text,Text,Files,Text,Text,Files,Text,Text,Text
Player_1_0,1,0,1,2,START,,,False,Block,Normal,,,None(),[],,,[],,{{omit}},20;30
Player_1_1,1,1,1,2,New Dialogue Entry,,"Oh, dear huntsman, let me live. \nI will run into the wild woods and never come back.",False,Block,Normal,,,,[],,,[],,{{omit}},20;80
Hunter_1_2,1,2,2,1,New Dialogue Entry,,"Run away, you poor child.",False,Block,Normal,,,,[],,,[],,{{omit}},20;130
Hunter_1_3,1,3,2,1,New Dialogue Entry,,"Oh wait, take this gun and light.",False,Block,Normal,,,,[],,,[],,{{omit}},20;178.4375
Hunter_1_4,1,4,2,1,New Dialogue Entry,,Or the wild animals will soon devour you.,False,Block,Normal,,,,[],,,[],,{{omit}},20;228.9362
Player_2_0,2,0,1,2,START,,,False,Block,Normal,,,None(),[],,,[],,{{omit}},20;30
Hunter_2_1,2,1,2,1,New Dialogue Entry,,"I'm surprised you are still alive, girl!",False,Block,Normal,,,,[],,,[],,{{omit}},20;80
Player_2_2,2,2,1,2,,,"Thank you, your weapon and light helped a lot.",False,Block,Normal,,,,[],,,[],,{{omit}},20;130
Player_2_3,2,3,1,2,,,I'm so scared! Help me! Take me out of this place!,False,Block,Normal,,,,[],,,[],,{{omit}},300.2631;123.4211
Hunter_2_4,2,4,2,1,,,Yeah.. About this. I need to take some light back. I'm out of light myself so..,False,Block,Normal,,,,[],,,[],,,63.04512;200.4887
Hunter_2_6,2,6,2,1,,,I can take to queen's castle if you want.,False,Block,Normal,,,,[],,,[],,{{omit}},477.4059;169.1354
Player_2_7,2,7,1,2,New Dialogue Entry,,...Never mind then. By the way it is not her castle it's my castle!,False,Block,Normal,,,,[],,,[],,{{omit}},718.8344;166.2783
Hunter_2_8,2,8,2,1,New Dialogue Entry,,Well I'm looking forward to that. But now I'm taking some light back...,False,Block,Normal,,,,[],,,[],,{{omit}},718.8344;214.8497
Player_2_9,2,9,1,2,New Dialogue Entry,,You can't do this to me!,False,Block,Normal,,,,[],,,[],,{{omit}},718.8344;264.8497
Player_2_10,2,10,1,2,New Dialogue Entry,,Ok.. It's your stuff after all,False,Block,Normal,,,,[],,,[],,{{omit}},947.9814;265.2975
Hunter_2_11,2,11,2,1,New Dialogue Entry,,Yes I can. It's my stuff anyway.,False,Block,Normal,,,,[],,,[],,{{omit}},718.8344;314.8497
